platform,column,target_audience,primary_feature,secondary_feature,site_layer,landing_page,template_library,case_library,content_goal,content_structure,cta,top_funnel_metric,mid_funnel_metric,bottom_funnel_metric,weekly_baseline,review_action,owner
视频号,直播切片答疑,社群用户/高意向用户,Kimi Work,全功能,产品转化资产层,直播课页,直播任务模板库,任务门诊案例库,把社群问题反哺平台,用户提问->工作流改造->Kimi输出->复盘,加群提交任务,完播率,入群/预约,社群完成率,每周1条,完成高则改成案例内容,社群运营
B站,Kimi Agent 项目课,产品/市场/咨询/研究,Agent Swarm,Deep Research,产品转化资产层,Agent 课程页,项目资料库,项目级案例库,建立复杂任务信任,项目目标->资料准备->Agent分工->校验->复盘,下载项目资料包,播放时长,收藏/资料包下载,高价值任务完成,每周1条,时长高下载低则加强资料包入口,视频负责人
B站,高付费岗位工作流,咨询/销售/PMM/管理者,Kimi Work,Docs/Sheets,产品转化资产层,行业工作流页,岗位工作流模板库,高付费岗位案例库,吸引专业深度用户,岗位任务地图->3个场景->模板演示->边界,关注系列课,播放时长,收藏/关注,高意向评论,每两周1条,高意向多则转行业包,视频负责人
B站,功能组合实验室,运营/内容团队/团队负责人,Kimi Work,Docs/Sheets/Slides/Websites,产品转化资产层,功能组合教程页,功能组合模板库,功能组合案例库,解释多功能串联,复杂交付->功能串联->结果->复盘,下载工作流图,播放时长,收藏/评论问题,功能组合完成,每两周1条,问题集中则拆短视频,视频负责人
B站,同题挑战复盘,高意愿用户/竞品搜索用户,Deep Research,Sheets,公司级内容资产层,AI 工作方式中心,同题挑战资料库,方法论案例库,建立任务完成度信任,任务规则->手动流程->Kimi流程->质量耗时对比,投票下期任务,完播率,投票/转发,模板下载,每月1条,投票高则进入下月排期,视频负责人
知乎,Kimi 适合谁,高意愿搜索用户,Kimi Work,Docs,公司级内容资产层,AI 工作方式中心,场景判断清单,专业岗位案例库,承接购买前疑问,结论->适合不适合->案例->建议,文末领取场景表,搜索曝光,赞藏/外链点击,注册/首用,每周1条,赞藏高点击低则优化文末CTA,内容负责人
知乎,Agent 原理不玄学,AI重度用户/专业用户,Kimi Agent,Agent Swarm,公司级内容资产层,Agent 方法论文章,Agent 判断清单,Agent 任务案例库,理性解释 Agent 工作方式,误解->任务循环->人工介入->失败边界,收藏判断清单,搜索曝光,赞藏/评论质量,Agent激活,每周1条,困惑多则做短视频解释,内容负责人
知乎,高价值任务问答,产品/市场/投放/管理,Docs,Sheets,产品转化资产层,行业问答页,高价值任务模板库,问答转化案例库,把问题转教程,问题->直接答案->工作流->prompt,提交真实任务,搜索曝光,关注/私信,任务完成,每周1条,私信多则进社群门诊,内容负责人
知乎,团队使用边界,团队负责人/专业岗位,Kimi Work,Deep Research,公司级内容资产层,信任与安全中心,团队 SOP 模板库,团队使用案例库,建立信任和安全感,资料分级->权限->校验->SOP,下载团队清单,阅读完成,收藏/外链点击,团队模板使用,每两周1条,外链高则做公众号手册,内容负责人
公众号,Kimi Work 行业包,行业用户/团队负责人,Kimi Work,Docs/Slides/Sheets,产品转化资产层,行业包落地页,行业模板库,行业客户案例库,沉淀转化资产,行业痛点->任务地图->3个工作流->模板包,领取行业包,阅读完成,转发/模板领取,社群入群/任务完成,每周1条,领取高则做直播,内容负责人
公众号,Agent Fluency 手册,专业用户/团队负责人,Kimi Agent,Deep Research,公司级内容资产层,Agent Fluency 方法论页,Agent 手册模板库,Agent 学习案例库,教用户持续委派复杂任务,概念->公式->案例->校验,下载手册,阅读完成,收藏/转发,Agent任务完成,每两周1条,完成低则补案例,内容负责人
公众号,高付费人群案例库,创始人/咨询/销售管理,Kimi Work,Deep Research,产品转化资产层,高付费场景页,高付费场景模板库,高付费客户案例库,拉动付费意图,人群画像->任务成本->流程->商业价值,预约场景拆解,阅读完成,高意向私信,升级点击/付费意图,每两周1条,线索多则加行业包,内容负责人
公众号,月度模板包,已关注用户/社群用户,Docs,Sheets/Slides,产品转化资产层,月度模板包页,月度模板库,月度成功案例库,月度转化承接,任务清单->模板清单->使用说明->复盘入口,关键词领取,阅读完成,模板领取,D7回访,每月1条,回访低则调整模板难度,内容负责人
即刻/微博,今日 Kimi 任务,AI重度用户/泛职场,Docs,Scheduled Tasks,产品转化资产层,今日任务库,轻量任务模板库,社区共创案例库,保持产品日常存在感,10分钟任务->输入句式->预期结果->晒图,评论晒结果,互动率,UGC数,任务完成,每日1条,UGC多则转小红书案例,社群运营
即刻/微博,这个功能怎么用,产品人/PMM/内容团队,新功能,Scheduled Tasks/Agent,产品转化资产层,新功能页,功能场景卡库,功能渗透案例库,新功能即时转场景,功能变化->3个任务->结果样例,转发给需要的人,转发,功能评论,功能激活,每周2条,评论多则补教程长文,社群运营
即刻/微博,评论改任务,社区用户/内容团队,Docs,Sheets,产品转化资产层,评论需求收集页,需求改写模板库,社区共创案例库,把社区需求变选题,用户原话->任务重写->Kimi输入->输出目标,留下需求,评论数,需求二创数,下周选题命中,每周2条,需求多则进入排期池,社群运营
即刻/微博,Kimi 交付金句,AI关注者/团队用户,Kimi Work,Docs,公司级内容资产层,AI 工作方式中心,工作原则卡库,方法论案例库,扩散产品心智,一句观点->场景例子->轻CTA,收藏原则,转发,收藏/讨论,品牌搜索,每周2条,转发高则改成长图,社群运营
社群,每日任务卡,模板领取用户/新用户,全功能,Docs/Sheets,产品转化资产层,任务训练营页,打卡任务库,UGC 案例库,推动真实首用,今日任务->输入模板->结果标准->打卡格式,晒结果截图,任务参与,任务完成数,D1/D7留存,每日,完成低则降低任务门槛,社群运营
社群,模板共创日,高意向用户/团队用户,Docs,Sheets,产品转化资产层,模板共创页,共创模板库,模板复用案例库,把用户场景变资产,征集场景->共创模板->试用反馈->版本更新,提交改进,参与人数,共创数/复用数,模板二次使用,每周1次,复用高则平台发布,社群运营
社群,真实任务门诊,高意向用户,Kimi Work,全功能,产品转化资产层,任务门诊页,门诊任务模板库,高意向用户案例库,帮助用户完成复杂任务,用户提交->拆解->演示->复盘,报名下期门诊,报名数,直播参与,任务完成/线索,每周1次,高意向多则转销售承接,社群运营
社群,案例榜和复盘,已完成任务用户,Docs,Sheets,产品转化资产层,案例库首页,案例复盘模板库,UGC 案例库,把结果变平台内容,榜单->亮点->可复制做法->下周挑战,授权案例改写,参与人数,案例授权,案例内容转化,每周1次,案例多则做公众号合集,社群运营
