week,day,platform,column,site_layer,landing_page,template_library,case_library,title,feature,audience,asset,cta,owner,status
1,Fri,社群,每日任务卡,产品转化资产层,任务训练营页,打卡任务库,UGC 案例库,一周内让团队 5 个人各完成一个 Kimi 任务,全功能,团队用户,团队打卡表,晒任务截图,社群运营,todo
1,Sat,视频号,销售拜访前,产品转化资产层,销售工作流页,销售模板库,销售任务案例库,销售总监会前 15 分钟的客户风险表,Deep Research/Sheets,销售管理,风险表,评论客户类型,短视频,todo
1,Sun,社群,案例榜和复盘,产品转化资产层,案例库首页,案例复盘模板库,UGC 案例库,本周 Kimi 任务完成案例榜,Docs/Sheets,社群用户,案例榜,授权案例改写,社群运营,todo
2,Mon,小红书,用户交付物改造,产品转化资产层,用户案例库首页,交付物改造模板库,用户交付物案例库,把 20 条客服记录变成产品 FAQ 和路线图线索,Docs/Sheets,产品客服,FAQ 线索表,评论 FAQ 领取,内容负责人,todo
2,Mon,抖音,功能三连用,产品转化资产层,功能组合教程页,功能组合模板库,功能渗透案例库,一场直播结束后 Kimi 如何生成切片清单,Docs/Sheets,内容团队,切片清单,评论切片领取,短视频,todo
2,Mon,即刻/微博,评论改任务,产品转化资产层,评论需求收集页,需求改写模板库,社区共创案例库,把产品 changelog 改成用户能懂的 5 个任务,Docs,PMM,功能任务卡,留下你的功能更新,社群运营,todo
2,Tue,B站,功能组合实验室,产品转化资产层,功能组合教程页,功能组合模板库,功能组合案例库,团队共享资料夹如何先让 Kimi 建索引,Kimi Work/Docs,团队负责人,资料索引,下载工作流图,视频负责人,todo
2,Tue,知乎,Kimi 适合谁,公司级内容资产层,AI 工作方式中心,场景判断清单,专业岗位案例库,高阶用户会设计交付标准而不是多问几句,Docs/Agent,专业用户,交付标准表,收藏标准表,内容负责人,todo
2,Tue,视频号,办公交付流,产品转化资产层,办公工作流页,办公模板库,私域任务完成案例库,HR 入职资料包如何做成新人 7 天计划,Kimi Work/Docs,HR,入职计划,进群领模板,短视频,todo
2,Wed,小红书,高价值任务拆箱,产品转化资产层,Kimi Work 入门页,任务卡模板库,用户交付物案例库,用 Kimi 给产品路线图补用户证据,Sheets/Docs,产品经理,证据路线图,评论路线图领取,内容负责人,todo
2,Wed,抖音,Agent 分身干活,产品转化资产层,Agent 演示页,Agent 分工模板库,Agent 任务案例库,Kimi Agent 帮你把调研从问题拆到证据表,Agent/Sheets,产品市场,证据表,评论证据领取,短视频,todo
2,Thu,公众号,Kimi Work 行业包,产品转化资产层,行业包落地页,行业模板库,行业客户案例库,客户成功续费跟进包怎么用 Kimi 搭,Kimi Work/Scheduled Tasks,CS 销售,续费跟进包,领取行业包,内容负责人,todo
2,Thu,即刻/微博,这个功能怎么用,产品转化资产层,新功能页,功能场景卡库,功能渗透案例库,用 Scheduled Tasks 固定提醒客户跟进,Scheduled Tasks,销售 CS,跟进提醒,转发给销售同事,社群运营,todo
2,Fri,小红书,高付费场景卡,产品转化资产层,高价值任务场景页,高付费场景模板库,高付费用户案例库,自由职业者用 Kimi 做报价依据表,Sheets/Docs,自由职业者,报价表,评论报价领取,内容负责人,todo
2,Fri,社群,真实任务门诊,产品转化资产层,任务门诊页,门诊任务模板库,高意向用户案例库,帮 5 个用户把周会改成 Kimi 固定工作流,Kimi Work/Docs,团队用户,周会 SOP,报名下期门诊,社群运营,todo
2,Sat,视频号,管理者 10 分钟,产品转化资产层,管理者工作流页,管理者模板库,管理者案例库,Kimi Work 如何帮管理者准备一场 1 对 1,Docs,管理者 HR,1 对 1 提纲,预约直播拆解,短视频,todo
2,Sun,社群,模板共创日,产品转化资产层,模板共创页,共创模板库,模板复用案例库,团队模板库命名规则共创,Docs,社群用户,命名规则,提交模板改进,社群运营,todo
3,Mon,小红书,Work 模板速领,产品转化资产层,模板领取页,岗位模板库,模板首用案例库,跨部门同步邮件不要写成流水账,Docs,PM 管理者,同步邮件模板,评论同步领取,内容负责人,todo
3,Mon,抖音,60 秒交付演示,产品转化资产层,Kimi Work 功能页,60 秒任务模板库,快速首用案例库,用 Kimi 把用户调研结论做成老板能看懂的 5 页,Slides/Docs,产品研究,5 页汇报,搜索 Kimi 试同款,短视频,todo
3,Mon,即刻/微博,今日 Kimi 任务,产品转化资产层,今日任务库,轻量任务模板库,社区共创案例库,把一个想法变成行动清单,Docs,泛职场,行动清单,评论晒结果,社群运营,todo
3,Tue,B站,Kimi Agent 项目课,产品转化资产层,Agent 课程页,项目资料库,项目级案例库,Agent 研究如何保留引用和反证,Deep Research/Agent,研究咨询,引用反证表,下载校验清单,视频负责人,todo
3,Tue,知乎,团队使用边界,公司级内容资产层,信任与安全中心,团队 SOP 模板库,团队使用案例库,Kimi Work 的团队模板库应该按任务而不是部门建,Kimi Work/Docs,团队负责人,模板库结构,下载团队清单,内容负责人,todo
3,Tue,视频号,销售拜访前,产品转化资产层,销售工作流页,销售模板库,销售任务案例库,用 Kimi 把销售录音整理成机会推进计划,Docs/Scheduled Tasks,销售,推进计划,评论销售领取,短视频,todo
3,Wed,小红书,高价值任务拆箱,产品转化资产层,Kimi Work 入门页,任务卡模板库,用户交付物案例库,用 Kimi 把客户异议整理成销售培训材料,Docs/Slides,销售培训,培训大纲,评论异议领取,内容负责人,todo
3,Wed,抖音,功能三连用,产品转化资产层,功能组合教程页,功能组合模板库,功能渗透案例库,把播客逐字稿变成 4 种平台内容,Docs/Sheets,内容团队,多平台改写表,评论改写领取,短视频,todo
3,Thu,公众号,Kimi Work 行业包,产品转化资产层,行业包落地页,行业模板库,行业客户案例库,B 端产品如何准备一次客户培训课,Slides/Docs,B 端 PMM,培训课件大纲,领取培训模板,内容负责人,todo
3,Thu,即刻/微博,这个功能怎么用,产品转化资产层,新功能页,功能场景卡库,功能渗透案例库,用 Kimi 给知识库做过期内容清理计划,Docs/Scheduled Tasks,团队用户,清理计划,今晚试一次,社群运营,todo
3,Fri,小红书,用户交付物改造,产品转化资产层,用户案例库首页,交付物改造模板库,用户交付物案例库,评论区 30 个问题如何变成 FAQ 视频脚本,Docs/Sheets,内容团队,FAQ 脚本,评论 FAQ 领取,内容负责人,todo
3,Fri,社群,案例榜和复盘,产品转化资产层,案例库首页,案例复盘模板库,UGC 案例库,社群打卡结果生成用户案例初稿,Docs/Sheets,社群运营,案例初稿,授权案例改写,社群运营,todo
3,Sat,视频号,办公交付流,产品转化资产层,办公工作流页,办公模板库,私域任务完成案例库,用 Kimi 给每周例会生成会前阅读包,Docs/Scheduled Tasks,管理者 PM,会前阅读包,进群领模板,短视频,todo
3,Sun,社群,每日任务卡,产品转化资产层,任务训练营页,打卡任务库,UGC 案例库,Kimi 社群任务卡从低门槛走向高价值,全功能,社群用户,任务阶梯,完成本周任务,社群运营,todo
4,Mon,小红书,高价值任务拆箱,产品转化资产层,Kimi Work 入门页,任务卡模板库,用户交付物案例库,用 Kimi 把竞品价格页整理成销售攻防卡,Sheets/Docs,销售市场,攻防卡,评论攻防领取,内容负责人,todo
4,Mon,抖音,Agent 分身干活,产品转化资产层,Agent 演示页,Agent 分工模板库,Agent 任务案例库,Kimi Agent 检查一份方案是否缺证据,Agent/Deep Research,市场咨询,证据缺口表,评论证据领取,短视频,todo
4,Mon,即刻/微博,今日 Kimi 任务,产品转化资产层,今日任务库,轻量任务模板库,社区共创案例库,追踪 3 个竞品的一周内容动作,Scheduled Tasks/Sheets,产品市场,竞品追踪表,转发给同事,社群运营,todo
4,Tue,B站,功能组合实验室,产品转化资产层,功能组合教程页,功能组合模板库,功能组合案例库,线下活动资料变成复盘网页和招商包,Websites/Slides,活动商务,复盘招商包,下载页面结构,视频负责人,todo
4,Tue,知乎,Agent 原理不玄学,公司级内容资产层,Agent 方法论文章,Agent 判断清单,Agent 任务案例库,Agent 分工失败的 3 个信号和补救方式,Agent,AI 重度用户,补救清单,收藏补救清单,内容负责人,todo
4,Tue,视频号,管理者 10 分钟,产品转化资产层,管理者工作流页,管理者模板库,管理者案例库,部门季度计划第一版骨架怎么交给 Kimi,Docs/Sheets,管理者,季度计划,预约拆解,短视频,todo
4,Wed,小红书,高付费场景卡,产品转化资产层,高价值任务场景页,高付费场景模板库,高付费用户案例库,用 Kimi 给客户案例补齐背景冲突和结果,Docs,市场销售,案例结构,评论案例领取,内容负责人,todo
4,Wed,抖音,60 秒交付演示,产品转化资产层,Kimi Work 功能页,60 秒任务模板库,快速首用案例库,新人运营如何用 Kimi 完成第一份月报,Docs/Sheets,运营新人,月报模板,评论月报领取,短视频,todo
4,Thu,公众号,高付费人群案例库,产品转化资产层,高付费场景页,高付费场景模板库,高付费客户案例库,客户复盘会如何变成续费行动包,Docs/Sheets,CS 销售管理,续费行动包,领取续费模板,内容负责人,todo
4,Thu,即刻/微博,Kimi 交付金句,公司级内容资产层,AI 工作方式中心,工作原则卡库,方法论案例库,Kimi 的第一个付费理由是少交付一次返工,Kimi Work,高付费人群,价值解释,转发给团队,社群运营,todo
4,Fri,小红书,Work 模板速领,产品转化资产层,模板领取页,岗位模板库,模板首用案例库,内容团队月末栏目淘汰和加码表,Sheets/Docs,内容团队,栏目决策表,评论栏目领取,内容负责人,todo
4,Fri,公众号,月度模板包,产品转化资产层,月度模板包页,月度模板库,月度成功案例库,新功能上线前 48 小时的 Kimi 内容准备表,Sheets/Docs,PMM 运营,发布准备表,领取月度模板包,内容负责人,todo
4,Fri,社群,案例榜和复盘,产品转化资产层,案例库首页,案例复盘模板库,UGC 案例库,月末复盘和下月主推功能投票,Sheets/Docs,社群用户,复盘表,参与下月投票,社群运营,todo
4,Sun,社群,真实任务门诊,产品转化资产层,任务门诊页,门诊任务模板库,高意向用户案例库,把一个高付费用户任务拆成下月内容系列,全功能,高意向用户,下月系列 brief,报名门诊,社群运营,todo
